Price,Close,High,Low,Open,Volume
Ticker,MA,MA,MA,MA,MA
Date,,,,,
2023-01-03,342.2100524902344,349.9660402002409,339.38791935375986,345.32823316250517,2933600
2023-01-04,350.4495544433594,352.2553511061249,345.061826425393,346.73933883068963,2661000
2023-01-05,347.1142883300781,352.8276657024085,346.6209058654407,351.4067217951587,2608500
2023-01-06,363.39263916015625,364.43041167691837,351.1863097133773,353.15314893540324,4432800
2023-01-09,366.6542663574219,370.6373815445858,365.26066618330856,367.306591768446,3913500
2023-01-10,366.6938171386719,367.3560057165436,362.93800682947955,364.5193990563738,3485900
2023-01-11,373.46405029296875,373.52338001648417,366.9408572857346,368.2850208844842,3370200
2023-01-12,375.3913879394531,376.69603864563226,372.53502512388786,373.46406166157277,3291200
2023-01-13,371.15130615234375,373.47397301510307,369.95539136185556,370.69666609491406,4261000
2023-01-17,370.6374206542969,373.9286676781848,369.6292977286354,370.6374206542969,2814500
2023-01-18,364.6280822753906,371.43790990496495,364.21295518791777,370.15304587298294,2747100
2023-01-19,363.65948486328125,366.48619789465755,359.36997890558865,360.3583451676158,3111200
2023-01-20,371.9024963378906,372.238537284041,365.10253088919393,365.92289186696956,3863400
2023-01-23,374.1658630371094,376.94317011717857,371.98155164758685,372.35713569329835,2743900
2023-01-24,375.5891418457031,385.46291296423243,370.8548581358335,385.46291296423243,2756200
2023-01-25,377.94140625,378.1094116310034,370.7362074333537,370.7362074333537,3501900
2023-01-26,372.851318359375,379.6413904696367,368.6606546184089,378.94955211077695,3718400
2023-01-27,369.67864990234375,376.0931376053444,369.03621783304095,371.8135247524861,3405600
2023-01-30,366.802490234375,369.3920050706285,365.1024990205875,365.16179858458224,2688600
2023-01-31,366.2885437011719,368.1466771046671,362.7501755828025,365.6856245952296,3137400
2023-02-01,369.7280578613281,372.396658976974,362.73043762231447,364.2821799759496,2951900
2023-02-02,370.5780944824219,376.04375938021366,368.46297594233926,375.1047992502614,2761600
2023-02-03,369.56005859375,373.8199150690857,366.17983246883716,366.4862236185678,2739600
2023-02-06,368.6309814453125,369.9751451401322,364.75657226383674,365.69553231723717,2068300
2023-02-07,370.6966857910156,372.683311833182,364.5490458050411,367.1879972664643,2309100
2023-02-08,366.0414733886719,371.41818859340646,365.8339249065629,368.8286736557494,2193600
2023-02-09,366.11065673828125,370.2123708353198,364.9542549001176,368.9571263350194,2287600
2023-02-10,362.5623779296875,365.9426037735378,358.69789243827796,365.3397148395351,2270700
2023-02-13,366.515869140625,366.8222904493397,362.79963228829575,364.2722884529465,2286400
2023-02-14,365.6559753417969,369.06585102468216,363.4519378725373,365.2803913346913,1841400
2023-02-15,365.3397521972656,365.49786427026953,360.7636111694398,362.0188255757844,2203300
2023-02-16,363.27398681640625,368.7396507270703,360.65482240398006,360.65482240398006,2792700
2023-02-17,356.9287109375,362.4339182236987,355.6141669256923,359.82461682923633,2718900
2023-02-21,351.8188781738281,357.56128426531467,351.0578469413886,352.6095893528698,2730900
2023-02-22,350.84039306640625,353.57815690843313,349.1008586949125,351.2258402458576,2109300
2023-02-23,351.39385986328125,353.5781408812857,347.5688872124509,353.5781408812857,1975500
2023-02-24,349.0118713378906,349.88163842891856,345.5229398222057,346.7386411193301,2016100
2023-02-27,351.344482421875,353.8648045598676,350.6921570086486,351.50262465804025,2200800
2023-02-28,351.1567077636719,353.63748692464236,349.13053854001396,350.6822810317193,2732900
2023-03-01,349.3874816894531,351.1764222520023,345.32531073679974,349.88166483187103,1968100
2023-03-02,351.43341064453125,352.4711831889452,347.5985445950984,349.5159776198148,2526000
2023-03-03,357.29443359375,357.4822256122387,352.935734394304,353.9537505227995,2174900
2023-03-06,362.66119384765625,364.24258576231836,357.0571745187975,357.61065716454794,2789400
2023-03-07,355.7525329589844,364.8553772287263,355.3670556624026,362.89843145390427,1660800
2023-03-08,354.8531494140625,357.4921006912002,353.12350839914455,354.43802229896215,1634400
2023-03-09,350.3165588378906,359.78509485694246,349.79272589783676,355.07059839645814,2414700
2023-03-10,343.0718078613281,348.94270602696275,341.21370457582145,348.31016728696045,3176400
2023-03-13,340.6997375488281,345.78981794221573,336.25208921552036,339.63231522035437,3308200
2023-03-14,348.7154235839844,351.9671271653318,344.50497327205886,346.9165895841662,3413300
2023-03-15,344.030517578125,344.34680202315707,339.64219909412105,342.02413525892933,3082600
2023-03-16,343.9515075683594,344.63348279809367,336.32131774568575,342.5875571088908,3768100
2023-03-17,345.5921630859375,347.84563703697006,342.8247193563504,346.1752955817589,8426800
2023-03-20,345.256103515625,349.72350807898675,343.2991274944282,343.95145283482714,3864200
2023-03-21,350.445068359375,352.05611035611395,346.7485576534223,350.2473830218736,3766800
2023-03-22,346.94622802734375,355.81187512230986,346.94622802734375,350.48456618065075,2596400
2023-03-23,350.2473449707031,355.6734660588304,347.74677955196665,348.3101555563472,2598100
2023-03-24,347.53924560546875,348.32006342508436,342.2811296699679,346.37298061480715,2971500
2023-03-27,350.4944763183594,353.72645364320687,350.1584353730095,351.43343643223966,2420300
2023-03-28,350.2077941894531,351.7595364148146,348.6955950589377,351.4234955149827,1695900
2023-03-29,355.34735107421875,355.8415342470843,351.6805203770694,353.2223694634062,2327000
2023-03-30,355.08050537109375,358.3717520526557,354.0723523877408,356.7508469194459,2480500
2023-03-31,359.1821594238281,359.4193576565537,356.18741108549864,356.9286857253083,3376600
2023-04-03,362.20660400390625,362.39439601641743,357.5415137991133,358.3914943504408,2978000
2023-04-04,359.66650390625,364.8257773905214,359.1525642696634,362.53276025027924,2198700
2023-04-05,360.1218566894531,361.44834163357893,357.96381501272106,359.8149848849841,2239600
2023-04-06,357.8252868652344,358.3895467861547,352.3807435528914,357.5678987869476,2357600
2023-04-10,356.5086975097656,357.2907101330077,353.97448237703344,356.083010270559,1559100
2023-04-11,360.45843505859375,361.50774452502895,357.5183807434288,359.7556025389699,3033800
2023-04-12,358.13214111328125,364.88338173927485,357.3897034253459,362.38877177349724,2268800
2023-04-13,365.9227600097656,366.0217577374012,359.7259010299961,360.1515580279776,2611700
2023-04-14,368.67474365234375,369.625085627024,365.3882122954404,366.2692528367836,2254600
2023-04-17,369.00146484375,370.3279499779193,364.6755324546611,369.5953908666102,2432700
2023-04-18,368.56585693359375,370.17942626809526,366.2296374071764,370.17942626809526,2087800
2023-04-19,369.041015625,370.3774095087306,367.41756758562576,369.22910225655517,1795300
2023-04-20,371.2188720703125,371.40695871561763,365.9624152585864,367.7046788319945,2124800
2023-04-21,371.4564208984375,373.62434140215436,369.4964047021059,371.9315919026314,3537800
2023-04-24,370.95159912109375,373.8322611451105,369.85277556910836,371.3673473332957,1886300
2023-04-25,364.8140869140625,370.8030722879639,364.6062128164372,369.7339752903095,2245000
2023-04-26,363.0619201660156,368.466857806402,362.39866257213095,365.9128855793648,2594200
2023-04-27,369.90228271484375,371.199071512076,357.3600215739105,362.8837449031265,3859900
2023-04-28,376.1981201171875,378.0789561943064,367.7640389639681,368.7737433312973,3107300
2023-05-01,376.0298156738281,378.6036056321228,375.1388965139978,376.6534681486692,1745100
2023-05-02,372.2384033203125,375.0200670384746,367.19973056581586,373.9608488399234,2478700
2023-05-03,371.1198425292969,375.72295010657245,370.5555826417306,372.8720147896481,1970900
2023-05-04,372.3275451660156,373.05019538938143,368.3876951793733,370.7238845975967,2814900
2023-05-05,380.7814636230469,381.26651326904596,374.42618341138314,376.732706858819,2682800
2023-05-08,381.6228332519531,383.55315287600376,379.9003574861974,380.13795805966964,1719600
2023-05-09,379.07879638671875,382.2762389866218,378.8412259876708,380.0093207294802,2036400
2023-05-10,378.6828308105469,382.86028146298537,373.84212252275506,382.09802609267183,1940800
2023-05-11,379.5242614746094,381.8307545998822,375.4358997720406,378.35613655254195,1901200
2023-05-12,378.069091796875,381.1378101493099,374.98052556141636,380.61315537842256,2044000
2023-05-15,379.5440368652344,379.79151608672055,376.6930714001351,378.01955640211713,1957400
2023-05-16,376.406005859375,379.73214247153874,373.5154653254557,378.74222553611236,2762700
2023-05-17,383.09783935546875,383.6125852666477,375.30719820525525,378.34625033113036,3260300
2023-05-18,388.06719970703125,388.06719970703125,381.9198244156843,383.20670426010236,3729500
